ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0002004239-26-000003	2871983	Class A Ordinary Shares, par value $0.05 per share				5500.0				D			
0000950103-26-003355	2872138	Common Shares of Beneficial Interest				13885671.0				D			
0002114123-26-000001	2871728	Class A Common Shares				9828.0				D			
0000318154-26-000022	2871929	Common Stock				903.8	F2			I		401K Plan	
0001278521-26-000004	2871867	Common Stock				2877465.0				I		Discretionary Trust	
0001628280-26-015434	2872297	Common Stock				252813348.0				I		See remarks.	
0000318154-26-000018	2872269	Common Stock				105.47	F2			I		401(k) Plan	
0002112937-26-000002	2871705	Class A Common Shares				12900.0				D			
0001769628-26-000108	2871846	Class A Common Stock				34905.0				I		By Spouse	
0001769628-26-000108	2871847	Class A Common Stock				81000.0				I		By Yellowstone 2025 GRAT	F6
0001769628-26-000108	2871848	Class A Common Stock				57952.0				I		By Yosemite 2025 GRAT	F7
0001193125-26-094613	2871808	Common Stock				1104.0				I		By 401(k) Plan	F5
0000318154-26-000014	2872326	Common Stock				90000.0				I		By Spousal GRAT	
0000318154-26-000014	2872325	Common Stock				90000.0				I		By GRAT	
0001809519-26-000048	2872172	Class A Common Stock				126321.0				D			
0002116299-26-000001	2871968	Class B Common Shares				337500.0				D			
0002116299-26-000001	2871967	Class A Common Shares				112500.0				D			
0001809519-26-000046	2872113	Class A Common Stock				175748.0				D			
0001809519-26-000044	2871800	Class A Common Stock				427993.0				D			
0001291809-26-000003	2872139	Common Stock				12499.0				I		By Robert Singer 2005 Insurance Trust	
0001104659-26-024279	2872440	Common Stock				1200.0				I		By daughter, Allison Pittman	
0001104659-26-024279	2872439	Common Stock				5300.0				I		By Spouse	
0001104659-26-024279	2872438	Common Stock				1271500.0				I		By LLC	F2
0001104659-26-024279	2872441	Common Stock				1100.0				I		As UMTA Custodian for daughter, Catherine Pittman	
0001193125-26-094581	2872288	Restricted Stock				61328.0	F1			D			
0001193125-26-094577	2871748	Restricted Stock				41950.0	F1			D			
0001193125-26-094565	2872356	Restricted Stock				864.0	F1			D			
0001193125-26-094563	2871979	Restricted Stock				45229.0	F1			D			
0001193125-26-094561	2872393	Restricted Stock				18610.0	F1			D			
0001193125-26-094556	2872196	Restricted Stock				250000.0	F1			D			
0001658566-26-000045	2871809	Class A Common Stock				2989989.0				I		By Investment Partnership	F2
0001658566-26-000043	2872437	Class A Common Stock				2989989.0				I		By Investment Partnership	F2
0001658566-26-000042	2871703	Class A Common Stock				500000.0				I		By Investment Partnership LP	F5
0001658566-26-000042	2871702	Class A Common Stock				500000.0				I		By Investment Partnership	F4
0001717716-26-000006	2871801	Common  Stock				10491309.0				I		Through the SAR Trust	
0001628280-26-015429	2871995	Common Stock				5329.0	F1			D			
0000094049-26-000050	2872023	Common Stock				43439.0				I		By Daughter	
0000094049-26-000050	2872024	Common Stock				43439.0				I		By Daughter	
0000094049-26-000050	2872028	Common Stock				1238.22				I		By ESOP II Trust	
0000094049-26-000050	2872027	Common Stock				95416.0				I		By Trust	
0000094049-26-000050	2872026	Common Stock				5174.0				I		By Spouse	
0000094049-26-000050	2872025	Common Stock				43439.0				I		By Son	
0002064835-26-000028	2872046	Common Stock				26976707.0				D	F1		
0000094049-26-000048	2871787	Common Stock				511.83				I		By Esop II Trust	
0001140361-26-008123	2871903	Common Stock				2771.0				D			
0000094049-26-000046	2872207	Common Stock				90.27				I		By ESOP II Trust	
0000921895-26-000628	2871753	Common Stock, $0.02 par value	F1			845000.0				I		By: Voss Value Master Fund, L.P.	F2
0000921895-26-000628	2871754	Common Stock, $0.02 par value	F1			145000.0				I		By: Voss Value-Oriented Special Situations Fund, L.P.	F3
0000094049-26-000044	2871944	Common Stock				4478.35				I		By ESOP II Trust	
0001193125-26-094527	2871838	Class A Common Stock				333144.0				I		See footnote	F12
0001193125-26-094527	2871839	Class A Common Stock				20129.0	F13			D			
0001104659-26-024262	2872314	Class A Common Stock				19615.0				I			
0001104659-26-024262	2872313	Class A Common Stock				406811.0				D		See footnote	F15
0001593538-26-000016	2872092	Common Stock				15811.92	F2			I		By 401(k)	
0001604834-26-000006	2871811	Common Stock				656.0				I		By Irrevocable Trust of SWL	F4
0001604834-26-000006	2871810	Common Stock				656.0				I		By Irrevocable Trust of OSL	F3
0001604834-26-000006	2871812	Common Stock				656.0				I		By Irrevocable Trust of WGL	F5
0000708955-26-000051	2872239	Common Stock				50594.35				I		By 401k	
0001213900-26-024239	2871813	Common Stock				1192661.0				D			
0001193125-26-094502	2871777	Class A Common Stock				90.0				I		by spouse	
0001140361-26-008117	2872223	Common Stock				318.0				I		By 401(k) Plan	
0000708955-26-000050	2871953	Common Stock				50594.35	F3			I		By 401k	
0001591467-26-000003	2871917	Common Stock				159928.0				I		Held by Dorothy Butler Revocable Trust November 20, 2007	
0002116305-26-000001	2872436	Peoples Financial Corp/MS/				2281.0				D			
0001590364-26-000020	2872186	Series D Preferred Shares				8000.0				I		By BVI Corp	
0001590364-26-000020	2872185	Ordinary Shares				4354.0				I		By BVI Corp	
0001590364-26-000018	2871817	Ordinary Shares				116000.0				I		By Spousal Lifetime Access Trust	
0001590364-26-000018	2871818	Ordinary Shares				187616.0				I		By LLC	
0002116304-26-000001	2872300	Peoples Financial Corp/MS/				3764.0				D			
0002039870-26-000010	2872272	Common Stock				5000.0				I		By Trust	F4
0002039870-26-000010	2872273	Common Stock				11.0				I		By Trust	F3
0002039870-26-000010	2872271	Common Stock				38575.0				I		By Trust	F3
0002116074-26-000001	2872275	Peoples Financial Corp/MS/				436.0				D			
0001104659-26-024250	2871864	Class A Common Stock				2000000.0	F3			I		See Footnote	F3
0001193125-26-094415	2871950	Common Stock				28200.0	F1			D			
0001738507-26-000002	2871938	Common Stock				27830.0	F4			D			
0001722684-26-000015	2871722	Common Stock				15936.0	F4			D			
0001366776-26-000002	2871791	Common Stock				13080.0	F4			D			
0001847331-26-000002	2872404	Common Stock				19592.0	F4			D			
0001193125-26-094410	2872258	Common Stock				31231.0	F1			D			
0001738358-26-000002	2871928	Common Stock				27675.0	F4			D			
0001397086-26-000002	2871698	Common Stock				95412.0	F4			D			
0001176368-26-000004	2872377	Common Stock				30939.0	F4			D			
0001176368-26-000004	2872376	Common Stock				2405.0	F3			D			
0001223012-26-000002	2871803	Common Stock				17777.0	F4			D			
0001223012-26-000002	2871802	Common Stock				2405.0	F3			D			
0001028284-26-000006	2871930	Common Stock				2405.0	F3			D			
0001028284-26-000006	2871931	Common Stock				350371.0	F4			D			
0001213900-26-024222	2872118	COMMON STOCK, $0.001 par value				557.0				I		By Pleasant Lake Corp	F4
0001213900-26-024222	2872115	COMMON STOCK, $0.001 par value				409.0				I		By Howard Amster 2021 Charitable Remainder Unitrust 1	F1
0001213900-26-024222	2872117	COMMON STOCK, $0.001 par value				424.0				I		By Howard Amster Charitable Remainder Unitrust U/A DTD 04/22/1998	F3
0001213900-26-024222	2872116	COMMON STOCK, $0.001 par value				9233.0				I		By Howard Amster 2021 Charitable Remainder Unitrust 2	F2
0001213900-26-024222	2872119	COMMON STOCK, $0.001 par value				16604.0				I		By Howard Amster 2019 Charitable Remainder Unitrust 1	F5
0001576939-26-000004	2871862	Common Stock				2405.0	F3			D			
0001576939-26-000004	2871863	Common Stock				3791.0	F4			D			
0001273861-26-000004	2871735	Common Stock				2405.0	F3			D			
0001128483-26-000007	2871742	Common Stock				9307.0	F4			D			
0001128483-26-000007	2871741	Common Stock				2405.0	F3			D			
0001841794-26-000034	2872310	Class A Common Stock				408131.0				D	F6		
0001722684-26-000014	2872341	Common Stock				2405.0	F4			D			
0001722684-26-000014	2872340	Common Stock				91922.0	F3			D			
0001962414-26-000002	2872375	Ordinary Shares	F1			1554586.0				I		See footnote	F3
0001698149-26-000002	2871845	Ordinary Shares	F1			1554586.0				I		See footnote	F3
0001722684-26-000012	2871751	Common Stock				17701.0	F2			D			
0001722684-26-000012	2871750	Common Stock				3064.0	F1			D			
0000874015-26-000137	2871719	Common Stock				100.0				I		by Son	F5
0000885550-26-000051	2872091	Common Stock				19232.0				D			
0001193125-26-094389	2871897	Common Stock				250781.0				I		By Revocable Trust	
0001193125-26-094389	2871898	Common Stock				33305.0				I		By IRA	
0001193125-26-094389	2871899	Common Stock				889.0				I	F12	By ESOP	
0000708955-26-000042	2871717	Common Stock				21.71				I		By 401(k)	
0000094049-26-000042	2872333	Common Stock				4478.35				I		By ESOP II Trust	
0001104659-26-024235	2872192	Common Stock, par value $0.01 per share				2375.0				I		By IRA	
0001862087-26-000002	2872381	Class A Common Stock				1204407.0				I		See Footnote	F5
0001862087-26-000002	2872380	Class A Common Stock				1118320.0				I		See Footnote	F4
0001862087-26-000002	2872382	Class A Common Stock				129936.0				I		See Footnote	F6
0001862101-26-000002	2872427	Class A Common Stock				1118321.0				I		See Footnote	F3
0001862101-26-000002	2872428	Class A Common Stock				1193789.0				I		See Footnote	F4
0001862101-26-000002	2872429	Class A Common Stock				140553.0				I		See Footnote	F5
0001526624-26-000004	2872103	Common Stock				42000.0				I		By Family Trust	F11
0001628280-26-015394	2872287	Common Shares				36600.0				I		By a revocable trust	
0001630253-26-000002	2872349	No securities are beneficially owned.				0.0				D			
0001628280-26-015388	2871776	Common Shares				6000.0				I		By a Trust	F2
0001649599-26-000004	2871792	Common Stock				2484.0	F4			I		by ESPP	
0001838834-26-000004	2872199	Common Stock				305.68				I		By 401(k) Trustee	
0001706189-26-000004	2872374	Common Stock				4.38				I		By 401(k) Trustee	
0001627036-26-000004	2872219	Common Stock				36.92				I		By 401(k) Trustee	
0001318285-26-000009	2872289	Series A Common Stock	F2			153.0				I		Spouse	
0000708955-26-000038	2871784	Common Stock				100.0				I		UTMA Custodian for Daughter	
0001694392-26-000006	2872319	Series A Common Stock				14140.0				I		As custodian	
0002011118-26-000002	2872305	COMMON STOCK				29286.0				I	F2	Directly held by Cohen Holdings, LLC	
0001418328-26-000002	2871775	Common Stock				65000.0				I		by IRA	F5
0001193125-26-094351	2871878	Common Stock				4921.0				I	F3	By ESOP	
0001128928-26-000080	2871949	Common Stock				1363.0				I		By Son	
0001128928-26-000080	2871948	Common Stock				2993.15	F3			I		By Daughter	
0001757533-26-000009	2871896	Common Stock				127030.0				I		By Trust	F2
0001683168-26-001539	2872021	Common Stock, $.001 par value				2380.0	F2			I		By Spouse	
0001787574-26-000002	2872096	Class A Common Stock				10000.0				I		By Spouse	F3
0001787711-26-000002	2871901	Class A Common Stock				27676.0				I		By TLB 2020 Trust	
0001193125-26-094334	2872179	Class A Common Stock				1734.0				D	F1		
0001482981-26-000048	2871997	Common Stock				615681.0				I		by M. Kirban Revoc	F3
0001482981-26-000048	2871996	Common Stock				1479049.0				I		by M. Kirban 2010	F2
0001798543-26-000002	2871744	Common Stock				100.0				I		By Child	
0001798543-26-000002	2871743	Common Stock				100.0				I		By Child	
0001661892-26-000002	2872130	Common Stock				1320.0				I		UTMA Custodian for daughter	
0001661892-26-000002	2872129	Common  Stock				1320.0				I		UTMA Custodian for daughter	
0001482981-26-000046	2872180	Common Stock				215631.0				I		by Chris Roper FT	F2
0001482981-26-000046	2872183	Common Stock				41200.0				I		by Spouse	
0001482981-26-000046	2872182	Common Stock				216131.0				I		by Thomas Roper FT	F4
0001482981-26-000046	2872181	Common Stock				216131.0				I		by Peter Roper FT	F3
0001907321-26-000004	2872029	Common Stock				350.0				I		By Spouse	
0001100682-26-000028	2872309	Common Stock				31638.0				D			
0000877860-26-000076	2872343	Common Stock - IRA SEP				500.0				D			
0000877860-26-000076	2872342	Common Stock - Jointly held with spouse				33497.0				D			
0001628280-26-015352	2871943	Common Stock				97251.0				I		The Fritz Shorter Trust	F4
0001437749-26-007094	2871699	Common Stock				380.0				I		By ESOP	
0001193125-26-094250	2872252	Common Stock				109109.0				I		JMG Assets, LLC	F1
0001193125-26-094250	2872255	Common Stock				17180.0				I		MCG Assets, LLC	F4
0001193125-26-094250	2872254	Common Stock				26557.0				I		Michael E. Gellert 2011 Family Trust	F3
0001193125-26-094250	2872253	Common Stock				95158.0				I		JMG GST LLC	F2
0000708955-26-000032	2872162	Common Stock				293.4	F2			I		By 401k	
0001628280-26-015344	2871758	Common Stock				44986.0				I		By Derek Maetzold 2020 Irrevocable Trust	F4
0001628280-26-015344	2871759	Common Stock				3618.0				I		By The Maetzold 2018 Remainder Trust FBO Emily Carol Kirk	F5
0001628280-26-015344	2871765	Common Stock				44323.0				I		By DJM Grantor Retained Annuity Trust No. 7	F11
0001628280-26-015344	2871761	Common Stock				3615.0				I		By The Maetzold 2018 Remainder  Trust FBO John Derek Maetzold	F7
0001628280-26-015344	2871762	Common Stock				3615.0				I		By The Maetzold 2018 Remainder Trust FBO Peter Douglas Maetzold	F8
0001628280-26-015344	2871763	Common Stock				85959.0				I		By DJM Grantor Retained Annuity Trust No. 5	F9
0001628280-26-015344	2871764	Common Stock				18718.0				I		By DJM Grantor Retained Annuity Trust No. 6	F10
0001628280-26-015344	2871757	Common Stock				52923.0				I		By The Maetzold Descendants 2020 Trust	F3
0001628280-26-015344	2871760	Common Stock				3615.0				I		By The Maetzold 2018 Remainder Trust FBO Hannah Elizabeth Maetzold	F6
0001891517-26-000012	2871836	Class A Common Stock				2297.0				I		By LLC	
0001891517-26-000012	2871837	Class A Common Stock				2632766.0				I		By Trust	
0001791884-26-000005	2872053	Common Stock				535.0	F2			I		By 401 (k)	
0001791884-26-000005	2872054	Common Stock				868.0	F2			I		By Spouse's 401 (k)	
0001078095-26-000009	2872217	Common Stock				801716.0				I		See Footnote	F2
0001078095-26-000009	2872218	Common Stock				2714228.0				I		See Footnote	F3
0001256421-26-000002	2871737	Common Stock				0.0	F3			I		By ESOP	
0001256421-26-000002	2871740	Common Stock				2050.16	F4			I		By IRA	
0001256421-26-000002	2871739	Common Stock				10586.3	F4			I		by 50% ownership in LLC	
0001256421-26-000002	2871738	Common  Stock				2594.0	F3			I		By 401(k)	
0001593156-26-000005	2871888	Common Stock				35863.0	F2			I		By trust	
0001593156-26-000005	2871889	Common Stock				32137.0				I		By GRAT	
0001336920-26-000098	2872041	Common Stock				2000.0				I		By Spouse	
0001336920-26-000098	2872042	Common Stock				32000.0				I		by Family Trust	
0001770652-26-000002	2872262	Common Stock				14378.0	F4			I		By 401(k)	
0001770652-26-000002	2872261	Common Stock				0.0	F4			I		By ESOP	
0001770652-26-000002	2872264	Common Stock				7500.0	F1			I		By Wife's IRA	
0001770652-26-000002	2872263	Common Stock				43849.6	F1			I		By IRA	
0001628280-26-015313	2872193	$.01 PV CL B STK				636.0				D			
0001628280-26-015303	2872003	Common Stock				6500.0				I		Zenuk Family Living Trust u/a/d 09/01/2015	
0001628280-26-015301	2871721	Common Stock				10000.0				I		KJN Trust dtd 05/22/2013	
0001628280-26-015301	2871720	Common Stock				5000.0				I		John W. Neppl Trust dtd 5/22/2013	
0001628280-26-015300	2872329	Common Stock				574594.0				I		Gregory A Heckman Revocable Trust UAD 04/18/96 Gregory Heckman TTEE AMD 03/30/12	
0001078596-26-000002	2872058	Common Stock				21867.0				I			
0001078596-26-000002	2872059	Common Stock				51416.0				I			
0001078596-26-000002	2872057	Common Stock				9356.0				D	F6		
0001078596-26-000002	2872056	Common Stock				34192.99				D	F5	Held by Sherwood Partners, Ltd, family partnership	
0001078596-26-000002	2872055	Common Stock				18104.0				D	F4	Held by Spouse in Trust	
0000874716-26-000049	2872384	Common Stock				160.0				I		jointly with spouse	
0001171843-26-001370	2871921	Common Shares				53104.0				I			
0001171843-26-001370	2871920	Common Shares				32013.0				I		Held by 1968160 Ontario Inc.	F1
0001171843-26-001370	2871919	Common Shares				32609.0				I		Held by The Digestive Health Clinic Inc.	F2
0001171843-26-001370	2871918	Common Shares				627813.0				D		Held by The New Nijhawan Family Trust 2015	F1
0001576905-26-000012	2872225	Common Stock				126.53	F2			I		By 401(k) Plan	
0001193125-26-094190	2872044	Class A Common Stock, par value $0.001 per share				21732.0				I		By Pittman CC, LLC	F2
0001867203-26-000010	2872405	Common Stock				153.22	F2			I		By 401(k) Plan	
0001845574-26-000010	2871806	Common Stock				165.2	F2			I		By 401(k) Plan	
0001336920-26-000092	2871871	Common Stock				1792.54				I		By Key Executive Stock Deferral Plan	
0001845739-26-000007	2872250	Common Stock				159.63	F2			I		By 401(k) Plan	
0001517413-26-000096	2871985	Class A Common Stock				1909901.0				I		See Foonote	F7
0001517413-26-000096	2871984	Class A Common Stock				254808.0				I		See Footnote	F4
0001517413-26-000096	2871988	Class A Common Stock				156521.0				I		See Footnote	F10
0001517413-26-000096	2871986	Class A Common Stock				840005.0				I		See Footnote	F8
0001517413-26-000096	2871987	Class A Common Stock				109686.0				I		See Footnote	F9
0001767894-26-000008	2872230	Common Stock				124.96	F5			I		By 401(k) Plan	
0001579561-26-000002	2872238	Common Stock				28250.0				I		By Michael and Erin Zilis Trust	
0001699796-26-000012	2872170	Common Stock				169.62	F4			I		By 401(k) Plan	
0001562495-26-000002	2872256	Common Stock				45500.0				I		By P/R Family Trust	
0001810228-26-000008	2871870	Common Stock				163.51	F4			I		By 401(k) Plan	
0000097745-26-000055	2872049	Common Stock				14608.0				I		By Floral Park Associates, Inc.	
0000097745-26-000055	2872050	Common Stock				5000.0				I		By MNC 2020 Irrevocable Trust	F23
0000097745-26-000055	2872048	Common Stock				11300.0				I		By Alison Casper 2020 Irrevocable Trust	F22
0001106232-26-000008	2871891	Common Stock				2529963.0				I	F2, F3	See note	
0001106232-26-000008	2871892	Common Stock				108358.0				I	F4	See note	
0001628280-26-015285	2871893	Class A Common Stock				24753252.0				I		By Family Trusts	
0001628280-26-015283	2872369	Class A Common Stock				21269420.0				I		By Family Trusts	
0001718588-26-000008	2871951	Common Stock				156.31	F4			I		By 401(k) Plan	
0000950103-26-003318	2872411	Class A common stock				343220.0				I		By Omar M. Asali Irrevocable Trust F/B/O Yasmeen Asali	F3
0000950103-26-003318	2872409	Class A common stock				1333679.0				I		By Vivoli Holdings	F2
0000950103-26-003318	2872410	Class A common stock				343220.0				I		By Omar M. Asali Irrevocable Trust F/B/O Michael Asali	F3
0001225208-26-003295	2872306	Common Stock - 401(k)	F2			2460.04				I		By Trustee	
0001225208-26-003294	2871890	Common Stock - 401(k)	F2			3485.52				I		By Trustee	
0001225208-26-003293	2871820	Common Stock				7.71				I		By Trustee	F2
0001225208-26-003293	2871821	Common Stock - 401(k)	F3			1897.79				I		By Trustee	
0001193125-26-094153	2872268	Common Stock				193231.0				I		See Footnote	F3
0001225208-26-003292	2872372	Common Stock - 401(k)	F2			1896.85				I		By Trustee	
0001225208-26-003291	2871781	Common Stock - 401(k)	F2			2402.3				I		By Trustee	
0001628280-26-015261	2871941	Class A Common Stock				8338.0				I		Held by the Heather Hasson Revocable Trust	
0001628280-26-015261	2871942	Class A Common Stock				141.0	F3			I		Held by Hollywood Capital Partners LLC	
0001225208-26-003290	2872367	Common Stock - 401(k)	F2			1484.19				I		By Trustee	
0001225208-26-003289	2872120	Common Stock				685.13				I		By 401(k) Plan	
0001199807-26-000002	2871881	Common Stock				0.0	F3			I		By ESOP	
0001199807-26-000002	2871883	Common Stock				3904.0				I		by IRA	
0001199807-26-000002	2871885	Common Stock				4594.0				I		By Son	
0001199807-26-000002	2871884	Common Stock				5482.0				I		By Spouse's IRA	
0001199807-26-000002	2871882	Common  Stock				2722.0	F3			I		By 401(k)	
0001225208-26-003279	2871849	Common Stock				4876.0				I		By 401k	F4
0001225208-26-003278	2872226	Common Stock				572.0				I		By 401k	F4
0001193125-26-094134	2871833	Common Stock				13109.0				I	F2	By 401(k)	
0001193125-26-094134	2871834	Common Stock				4921.0				I	F2	By ESOP	
0001193125-26-094130	2872137	Common Stock				40000.0				I		By Spouse in Trust	
0001628280-26-015258	2871716	Class A Common Stock				19480.0				D			
0001580642-26-001523	2871853	Common Stock				11175.0				I		See Note	F6
0001580642-26-001523	2871852	Common Stock				11191.0				I		See Note	F5
0001580642-26-001523	2871855	Common Stock				11175.0				I		See Note	F9
0001580642-26-001523	2871856	Common Stock				3457379.0				I		See Note	F10
0001580642-26-001523	2871857	Common Stock				855000.0				I			
0001580642-26-001523	2871854	Common Stock				11175.0				I		See Note	F7
0001580642-26-001523	2871851	Common Stock				1020267.0				I		See Note	F4
0001580642-26-001523	2871850	Common Stock				116823.91	F1			D		See Note	F3
0001214659-26-002880	2871875	Class A Common Stock				1400000.0				I		By trust.	
0001214659-26-002880	2871874	Class A Common Stock				1554.0				I		As UTMA custodian for minor child.	
0001214659-26-002880	2871873	Class A Common Stock				4825.0				I		By trust.	
0001214659-26-002880	2871872	Class A Common Stock				60323.0				I		By trust.	
0001584509-26-000075	2872100	Common Stock				15000.0				I		By Trust	
0001553855-26-000001	2872344	Common  Stock				0.0	F3			I		By ESOP	
0001553855-26-000001	2872345	Common  Stock				1212.0	F3			I		By 401(k)	
0001628280-26-015255	2872195	$.01 PV CL B STK				636.0				D			
0001628280-26-015255	2872194	$.01 PV Com Stk				5938.25				D			
0001193125-26-094123	2872052	Common Stock				4921.0				I	F2	By ESOP	
0001193125-26-094123	2872051	Common Stock				22682.0				I	F2	By 401(k)	
0001880864-26-000006	2872291	Common Stock				300000.0				I		By Trust	F2
0001804397-26-000002	2872143	Common Stock				0.0	F3			I		By ESOP	
0001804397-26-000002	2872144	Common  Stock				2417.0	F3			I		By 401(k)	
0001628280-26-015254	2872370	Class A Common Stock				19504.0				D			
0001939105-26-000002	2871779	Common  Stock				0.0	F3			I		By ESOP	
0001939105-26-000002	2871780	Common  Stock				593.0	F3			I		By 401(k) Plan	
0001240062-26-000002	2872387	Common Stock				0.0	F3			I		By ESOP	
0001240062-26-000002	2872389	Common Stock				6798.0				I		By IRA	
0001240062-26-000002	2872388	Common Stock				89054.0	F3			I		By 401(k)	
0001628280-26-015251	2872133	Class A Common Stock				6053.0				D			
0001540789-26-000002	2872153	Common Stock				26618.0	F3			I		By 401(k)	
0001540789-26-000002	2872152	Common Stock				0.0	F3			I		By ESOP	
0001193125-26-094109	2872240	Common Stock				28620.0				I	F2	By 401(k)	
0001193125-26-094109	2872241	Common Stock				4921.0				I	F2	By ESOP	
0001732510-26-000002	2872229	Common  Stock				13752.0	F4			I		By IRA	
0001732510-26-000002	2872228	Common  Stock				2722.0	F3			I		By 401(k)	
0001732510-26-000002	2872227	Common Stock				0.0	F3			I		By ESOP	
0001584509-26-000068	2871734	Common Stock				12475.0				I		By Trust	
0000037996-26-000065	2872278	Common Stock, $0.01 par value				85301.0				I		By Trust - As Trustee	
0000037996-26-000065	2872279	Common Stock, $0.01 par value				229840.0				I		By Company Plan	
0001699675-26-000002	2871747	Common Stock				500.0				I		by IRA	
0001699675-26-000002	2871745	Common Stock				0.0	F2			I		By ESOP	
0001699675-26-000002	2871746	Common Stock				30806.0	F2			I		By 401(k)	
0001106578-26-000004	2872294	Common Stock				258117.0				I		by Trust	F13
0001106578-26-000004	2872296	Common Stock				10962.0				I		by Trust	F15
0001106578-26-000004	2872292	Common Stock				166.0				I		by  Spouse	
0001106578-26-000004	2872293	Common Stock				324518.0				I		by Trust	F12
0001106578-26-000004	2872295	Common Stock				45596.0				I		by Trust	F14
0001185280-26-000003	2872108	Common  Stock				439077.0				I	F2	By Family Trust	
0001628280-26-015249	2871708	Class A Common Stock				57030.0				D			
0001324863-26-000001	2872150	Common Stock				5800.0				I		Family LLC	
0001324863-26-000001	2872149	Common Stock				8200.0				I		by Trust	
0001563190-26-000063	2871823	Class A Common Stock				27334.0				D			
0001628280-26-015245	2871783	Class A Common Stock				2091.0				D			
0001106578-26-000003	2872005	Common Stock				166.0				I		by Spouse	
0001106578-26-000003	2872006	Common Stock				324518.0				I		by Trust	F18
0001106578-26-000003	2872009	Common Stock				10962.0				I		by Trust	F21
0001106578-26-000003	2872008	Common Stock				45596.0				I		by Trust	F20
0001106578-26-000003	2872007	Common Stock				258117.0				I		by Trust	F19
0001104659-26-024160	2872032	Common units representing limited partner interests				313348.0				I		See footnote	F1
0001104659-26-024160	2872033	Common units representing limited partner interests				27999.0				I		See footnote	F2
0001104659-26-024160	2872034	Common units representing limited partner interests				10000.0				I		See footnote	F3
0001104659-26-024160	2872035	Common units representing limited partner interests				2172.0				I		See footnote	F4
0001193125-26-094088	2872350	Common Shares				570.0				I		By Profit Sharing Fund (401(k)) Plan	
0001628280-26-015242	2872336	Class A Common Stock				6256.0				D			
0000897069-26-000596	2871880	Common Shares - Restricted Stock Units				2502.9	F2			D			
0001193125-26-094083	2872173	Common Shares				11300.0				I		By Profit Sharing Fund (401(k)) Plan	
0001104659-26-024155	2871713	Common units representing limited partner interests				761194.0				I		By SLAT	F1
0001104659-26-024155	2871714	Common units representing limited partner interests				10000.0				I		See footnote	F2
0001104659-26-024155	2871715	Common units representing limited partner interests				1368.0				I		See footnote	F3
0001213900-26-024132	2872158	Common Stock				48296.0				I		See footnote	F2
0001193125-26-094080	2871981	Common Shares				8827.0	F1			I		By Trust	
0001193125-26-094080	2871982	Common Shares				55815.0	F2			I		By Trust	
0000730464-26-000011	2871922	Common Stock				101364.0				D			
0001104659-26-024154	2871994	Common units representing limited partner interests				684.0				I		See footnote	F3
0001104659-26-024154	2871993	Common units representing limited partner interests				34944.0				I		See footnote	F2
0001104659-26-024154	2871992	Common units representing limited partner interests				254394.0				I		See footnote	F1
0001193125-26-094077	2871991	Common Shares				448.0				I		By Profit Sharing Fund (401(k)) Plan	
0001104659-26-024149	2871975	Common units representing limited partner interests				7220.0				I		By wife	
0001104659-26-024149	2871976	Common units representing limited partner interests				530.0				I		See footnote	F1
0001628280-26-015236	2871785	Class A Common Stock				6950.0				D			
0001828630-26-000001	2872085	Common Stock				22500.0	F2			I		See footnote	F3
0001757533-26-000008	2872111	Common Stock				235047.0				D			
0001437749-26-007081	2872215	COMMON STOCK				106744.0				I			
0001437749-26-007081	2872214	COMMON STOCK				114976.0				I		As Trustee	F5
0001437749-26-007081	2872210	COMMON STOCK				475434.0				D		401(k)	
0001437749-26-007081	2872212	COMMON STOCK				201156.0				I		As Trustee	F3
0001437749-26-007081	2872213	COMMON STOCK				115456.0				I		As Trustee	F4
0001437749-26-007081	2872211	COMMON STOCK				2457.24				I		As Trustee	F2
0000897069-26-000594	2872109	Common Shares - Restricted Stock Units				10612.67	F2			D			
0000891839-26-000070	2871804	Common stock				200.0				I		By spouse	
0001493152-26-008998	2872323	Preferred Shares				1000000.0	F2			D			
0001493152-26-008998	2872322	Ordinary Shares				2986200.0	F1			I		See Note	F1
0001094581-26-000003	2871969	Common Stock				11987834.0				I		By Trust	F2
0001214659-26-002878	2872364	Common Stock				6000.0				I		By Ault & Company, Inc.	F5
0001214659-26-002878	2872363	Common Stock				10000.0				I		By Alpha Structured Finance LP	F4
0001193125-26-094065	2872155	Common Shares				268858.0				I		By Spouse	
0001193125-26-094065	2872156	Common Shares				9837031.0	F4			I		In closely held LLC	
0001193125-26-094063	2872334	Common Voting Shares, $.01 par value per share				366926.0				D			
0001193125-26-094061	2872417	No securities beneficially owned				0.0				D			
0001193125-26-094059	2871707	Common Shares				2074.0				I		By Spouse	
0001193125-26-094057	2872132	Common Stock				16047.0	F1			D			
0001193125-26-094055	2872281	Common Shares				304504.0	F5			I		By JAMN Limited Partnership, LLP	
0001193125-26-094055	2872282	Common Shares				9837031.0	F5			I		In closely held LLC	
